,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
2960,Murder On My Mind,YNW Melly,14,61,19,61,2019-06-08
2961,Love Ain't,Eli Young Band,50,66,7,62,2019-06-08
2962,GIRL,Maren Morris,61,69,13,63,2019-06-08
2963,Cool,Jonas Brothers,27,68,8,64,2019-06-08
2964,Sanguine Paradise,Lil Uzi Vert,28,63,7,65,2019-06-08
2965,Put A Date On It,Yo Gotti Featuring Lil Baby,46,64,18,66,2019-06-08
2966,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",44,44,2,67,2019-06-08
2967,Homicide,Logic Featuring Eminem,5,53,4,68,2019-06-08
2968,Before I Let Go,Beyonce,65,77,6,69,2019-06-08
2969,Someone You Loved,Lewis Capaldi,70,80,3,70,2019-06-08
2970,Big Ole Freak,Megan Thee Stallion,65,72,8,71,2019-06-08
2971,Love Someone,Brett Eldredge,72,83,6,72,2019-06-08
2972,Soltera,"Lunay, Daddy Yankee & Bad Bunny",73,76,3,73,2019-06-08
2973,Knockin' Boots,Luke Bryan,74,81,5,74,2019-06-08
2974,24/7,Meek Mill Featuring Ella Mai,54,97,8,75,2019-06-08
2975,Some Of It,Eric Church,76,0,1,76,2019-06-08
2976,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,21,21,2,77,2019-06-08
2977,Talk You Out Of It,Florida Georgia Line,77,89,15,78,2019-06-08
2978,Girls Need Love,Summer Walker X Drake,37,82,14,79,2019-06-08
2979,Calma,Pedro Capo X Farruko,71,96,11,80,2019-06-08
2980,Boy With Luv,BTS Featuring Halsey,8,71,7,81,2019-06-08
2981,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,75,9,82,2019-06-08
2982,All To Myself,Dan + Shay,83,93,4,83,2019-06-08
2983,Shotta Flow,NLE Choppa,81,87,6,84,2019-06-08
2984,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,99,5,85,2019-06-08
2985,On My Way To You,Cody Johnson,84,95,14,86,2019-06-08
2986,Robbery,Juice WRLD,27,84,15,87,2019-06-08
2987,Night Shift,Jon Pardi,56,90,15,88,2019-06-08
2988,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,73,16,89,2019-06-08
2989,Don't Call Me Up,Mabel,66,79,10,90,2019-06-08
2990,Earth,Lil Dicky,17,78,6,91,2019-06-08
2991,Ocean Eyes,Billie Eilish,84,0,14,92,2019-06-08
2992,Juice,Lizzo,93,0,2,93,2019-06-08
2993,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",94,0,1,94,2019-06-08
2994,Te Robare,Nicky Jam X Ozuna,95,100,3,95,2019-06-08
2995,HP,Maluma,96,0,1,96,2019-06-08
2996,Rearview Town,Jason Aldean,97,0,1,97,2019-06-08
2997,Mixed Personalities,YNW Melly Featuring Kanye West,42,0,18,98,2019-06-08
2998,Paradise,Bazzi,91,0,3,99,2019-06-08
2999,Triggered,Jhene Aiko,51,94,3,100,2019-06-08
2800,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,14,1,2019-06-15
2801,Bad Guy,Billie Eilish,2,2,10,2,2019-06-15
2802,Talk,Khalid,3,3,17,3,2019-06-15
2803,I Don't Care,Ed Sheeran & Justin Bieber,2,4,4,4,2019-06-15
2804,Sucker,Jonas Brothers,1,5,14,5,2019-06-15
2805,Wow.,Post Malone,2,7,24,6,2019-06-15
2806,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,6,33,7,2019-06-15
2807,Suge,DaBaby,8,9,10,8,2019-06-15
2808,Dancing With A Stranger,Sam Smith & Normani,7,8,21,9,2019-06-15
2809,Sweet But Psycho,Ava Max,10,10,25,10,2019-06-15
2810,ME!,Taylor Swift Featuring Brendon Urie,2,11,7,11,2019-06-15
2811,Without Me,Halsey,1,13,35,12,2019-06-15
2812,7 Rings,Ariana Grande,1,14,20,13,2019-06-15
2813,If I Can't Have You,Shawn Mendes,2,15,5,14,2019-06-15
2814,Never Really Over,Katy Perry,15,0,1,15,2019-06-15
2815,Press,Cardi B,16,0,1,16,2019-06-15
2816,The London,"Young Thug, J. Cole & Travis Scott",12,12,2,17,2019-06-15
2817,Happier,Marshmello & Bastille,2,16,42,18,2019-06-15
2818,God's Country,Blake Shelton,19,20,10,19,2019-06-15
2819,Whiskey Glasses,Morgan Wallen,17,17,14,20,2019-06-15
2820,Truth Hurts,Lizzo,21,26,5,21,2019-06-15
2821,Pop Out,Polo G Featuring Lil Tjay,22,27,11,22,2019-06-15
2822,High Hopes,Panic! At The Disco,4,19,44,23,2019-06-15
2823,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,22,18,24,2019-06-15
2824,Middle Child,J. Cole,4,18,20,25,2019-06-15
2825,Eastside,"benny blanco, Halsey & Khalid",9,24,47,26,2019-06-15
2826,EARFQUAKE,"Tyler, The Creator",13,21,3,27,2019-06-15
2827,Act Up,City Girls,28,31,14,28,2019-06-15
2828,Going Bad,Meek Mill Featuring Drake,6,23,27,29,2019-06-15
2829,Pure Water,Mustard & Migos,23,30,19,30,2019-06-15
2830,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,25,17,31,2019-06-15
2831,Look What God Gave Her,Thomas Rhett,32,44,14,32,2019-06-15
2832,Look Back At It,A Boogie Wit da Hoodie,27,28,26,33,2019-06-15
2833,Better,Khalid,8,33,38,34,2019-06-15
2834,Sicko Mode,Travis Scott,1,32,44,35,2019-06-15
2835,Nightmare,Halsey,15,29,3,36,2019-06-15
2836,Rumor,Lee Brice,37,41,13,37,2019-06-15
2837,Beer Never Broke My Heart,Luke Combs,29,39,5,38,2019-06-15
2838,"Hey Look Ma, I Made It",Panic! At The Disco,39,40,8,39,2019-06-15
2839,Envy Me,Calboy,31,38,25,40,2019-06-15
2840,Good As You,Kane Brown,36,36,15,41,2019-06-15
2841,Please Me,Cardi B & Bruno Mars,3,35,16,42,2019-06-15
2842,Shallow,Lady Gaga & Bradley Cooper,1,37,36,43,2019-06-15
2843,When The Party's Over,Billie Eilish,29,42,30,44,2019-06-15
2844,Beautiful Crazy,Luke Combs,21,45,30,45,2019-06-15
2845,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,34,34,2,46,2019-06-15
2846,Miss Me More,Kelsea Ballerini,47,52,18,47,2019-06-15
2847,Speechless,Dan + Shay,24,46,24,48,2019-06-15
2848,Close Friends,Lil Baby,28,47,32,49,2019-06-15
2849,Go Loko,"YG, Tyga & Jon Z",50,53,5,50,2019-06-15
2850,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,43,3,51,2019-06-15
2851,Walk Me Home,P!nk,49,55,14,52,2019-06-15
2852,Bury A Friend,Billie Eilish,14,51,19,53,2019-06-15
2853,Mother's Daughter,Miley Cyrus,54,0,1,54,2019-06-15
2854,Clout,Offset Featuring Cardi B,39,57,9,55,2019-06-15
2855,Worth It,YK Osiris,52,58,16,56,2019-06-15
2856,Love Someone,Brett Eldredge,57,72,7,57,2019-06-15
2857,Someone You Loved,Lewis Capaldi,58,70,4,58,2019-06-15
2858,Cool,Jonas Brothers,27,64,9,59,2019-06-15
2859,Here With Me,Marshmello Featuring CHVRCHES,31,56,13,60,2019-06-15
2860,GIRL,Maren Morris,61,63,14,61,2019-06-15
2861,Just Us,DJ Khaled Featuring SZA,43,60,3,62,2019-06-15
2862,Easier,5 Seconds Of Summer,48,48,2,63,2019-06-15
2863,Knockin' Boots,Luke Bryan,64,74,6,64,2019-06-15
2864,Eyes On You,Chase Rice,38,54,16,65,2019-06-15
2865,Girls Need Love,Summer Walker X Drake,37,79,15,66,2019-06-15
2866,Call You Mine,The Chainsmokers & Bebe Rexha,67,0,1,67,2019-06-15
2867,Love Ain't,Eli Young Band,50,62,8,68,2019-06-15
2868,Murder On My Mind,YNW Melly,14,61,20,69,2019-06-15
2869,The Search,NF,70,0,1,70,2019-06-15
2870,Sanguine Paradise,Lil Uzi Vert,28,65,8,71,2019-06-15
2871,Before I Let Go,Beyonce,65,69,7,72,2019-06-15
2872,Put A Date On It,Yo Gotti Featuring Lil Baby,46,66,19,73,2019-06-15
2873,Soltera,"Lunay, Daddy Yankee & Bad Bunny",73,73,4,74,2019-06-15
2874,All To Myself,Dan + Shay,75,83,5,75,2019-06-15
2875,24/7,Meek Mill Featuring Ella Mai,54,75,9,76,2019-06-15
2876,Big Ole Freak,Megan Thee Stallion,65,71,9,77,2019-06-15
2877,On My Way To You,Cody Johnson,78,86,15,78,2019-06-15
2878,Isis,Joyner Lucas Featuring Logic,59,59,2,79,2019-06-15
2879,Some Of It,Eric Church,76,76,2,80,2019-06-15
2880,Talk You Out Of It,Florida Georgia Line,77,78,16,81,2019-06-15
2881,Shotta Flow,NLE Choppa,81,84,7,82,2019-06-15
2882,Calma,Pedro Capo X Farruko,71,80,12,83,2019-06-15
2883,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",44,67,3,84,2019-06-15
2884,Homicide,Logic Featuring Eminem,5,68,5,85,2019-06-15
2885,Ocean Eyes,Billie Eilish,84,92,15,86,2019-06-15
2886,Robbery,Juice WRLD,27,87,16,87,2019-06-15
2887,Rearview Town,Jason Aldean,88,97,2,88,2019-06-15
2888,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,85,6,89,2019-06-15
2889,Boy With Luv,BTS Featuring Halsey,8,81,8,90,2019-06-15
2890,Shut Up About Politics,John Rich Featuring The Five,91,0,1,91,2019-06-15
2891,La La Land,Bryce Vine Featuring YG,92,0,1,92,2019-06-15
2892,Ran$om,Lil Tecca,93,0,1,93,2019-06-15
2893,Under Enemy Arms,Trippie Redd,94,0,1,94,2019-06-15
2894,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,82,10,95,2019-06-15
2895,Te Robare,Nicky Jam X Ozuna,95,95,4,96,2019-06-15
2896,Raised On Country,Chris Young,97,0,1,97,2019-06-15
2897,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",94,94,2,98,2019-06-15
2898,Trampoline,SHAED,99,0,1,99,2019-06-15
2899,Night Shift,Jon Pardi,56,88,16,100,2019-06-15
2700,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,15,1,2019-06-22
2701,Bad Guy,Billie Eilish,2,2,11,2,2019-06-22
2702,Talk,Khalid,3,3,18,3,2019-06-22
2703,Sucker,Jonas Brothers,1,5,15,4,2019-06-22
2704,I Don't Care,Ed Sheeran & Justin Bieber,2,4,5,5,2019-06-22
2705,Wow.,Post Malone,2,6,25,6,2019-06-22
2706,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,7,34,7,2019-06-22
2707,Suge,DaBaby,8,8,11,8,2019-06-22
2708,No Guidance,Chris Brown Featuring Drake,9,0,1,9,2019-06-22
2709,Dancing With A Stranger,Sam Smith & Normani,7,9,22,10,2019-06-22
2710,Pop Out,Polo G Featuring Lil Tjay,11,22,12,11,2019-06-22
2711,If I Can't Have You,Shawn Mendes,2,14,6,12,2019-06-22
2712,Sweet But Psycho,Ava Max,10,10,26,13,2019-06-22
2713,ME!,Taylor Swift Featuring Brendon Urie,2,11,8,14,2019-06-22
2714,Without Me,Halsey,1,12,36,15,2019-06-22
2715,7 Rings,Ariana Grande,1,13,21,16,2019-06-22
2716,Truth Hurts,Lizzo,17,21,6,17,2019-06-22
2717,Happier,Marshmello & Bastille,2,18,43,18,2019-06-22
2718,God's Country,Blake Shelton,19,19,11,19,2019-06-22
2719,Whiskey Glasses,Morgan Wallen,17,20,15,20,2019-06-22
2720,High Hopes,Panic! At The Disco,4,23,45,21,2019-06-22
2721,Beer Never Broke My Heart,Luke Combs,22,38,6,22,2019-06-22
2722,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,24,19,23,2019-06-22
2723,The London,"Young Thug, J. Cole & Travis Scott",12,17,3,24,2019-06-22
2724,Middle Child,J. Cole,4,25,21,25,2019-06-22
2725,Act Up,City Girls,26,28,15,26,2019-06-22
2726,Eastside,"benny blanco, Halsey & Khalid",9,26,48,27,2019-06-22
2727,Never Really Over,Katy Perry,15,15,2,28,2019-06-22
2728,Pure Water,Mustard & Migos,23,30,20,29,2019-06-22
2729,EARFQUAKE,"Tyler, The Creator",13,27,4,30,2019-06-22
2730,"Hey Look Ma, I Made It",Panic! At The Disco,31,39,9,31,2019-06-22
2731,Going Bad,Meek Mill Featuring Drake,6,29,28,32,2019-06-22
2732,Speechless,Dan + Shay,24,48,25,33,2019-06-22
2733,Shallow,Lady Gaga & Bradley Cooper,1,43,37,34,2019-06-22
2734,Better,Khalid,8,34,39,35,2019-06-22
2735,Rumor,Lee Brice,36,37,14,36,2019-06-22
2736,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,31,18,37,2019-06-22
2737,Sicko Mode,Travis Scott,1,35,45,38,2019-06-22
2738,Look What God Gave Her,Thomas Rhett,32,32,15,39,2019-06-22
2739,Look Back At It,A Boogie Wit da Hoodie,27,33,27,40,2019-06-22
2740,Envy Me,Calboy,31,40,26,41,2019-06-22
2741,When The Party's Over,Billie Eilish,29,44,31,42,2019-06-22
2742,Nightmare,Halsey,15,36,4,43,2019-06-22
2743,Cool,Jonas Brothers,27,59,10,44,2019-06-22
2744,Beautiful Crazy,Luke Combs,21,45,31,45,2019-06-22
2745,Good As You,Kane Brown,36,41,16,46,2019-06-22
2746,Press,Cardi B,16,16,2,47,2019-06-22
2747,Close Friends,Lil Baby,28,49,33,48,2019-06-22
2748,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,34,46,3,49,2019-06-22
2749,Go Loko,"YG, Tyga & Jon Z",50,50,6,50,2019-06-22
2750,Please Me,Cardi B & Bruno Mars,3,42,17,51,2019-06-22
2751,Love Someone,Brett Eldredge,52,57,8,52,2019-06-22
2752,Clout,Offset Featuring Cardi B,39,55,10,53,2019-06-22
2753,Worth It,YK Osiris,52,56,17,54,2019-06-22
2754,Someone You Loved,Lewis Capaldi,55,58,5,55,2019-06-22
2755,Miss Me More,Kelsea Ballerini,47,47,19,56,2019-06-22
2756,Walk Me Home,P!nk,49,52,15,57,2019-06-22
2757,Bury A Friend,Billie Eilish,14,53,20,58,2019-06-22
2758,GIRL,Maren Morris,59,61,15,59,2019-06-22
2759,Just Us,DJ Khaled Featuring SZA,43,62,4,60,2019-06-22
2760,Knockin' Boots,Luke Bryan,61,64,7,61,2019-06-22
2761,Even Though I'm Leaving,Luke Combs,62,0,1,62,2019-06-22
2762,Easier,5 Seconds Of Summer,48,63,3,63,2019-06-22
2763,Girls Need Love,Summer Walker X Drake,37,66,16,64,2019-06-22
2764,Ran$om,Lil Tecca,65,93,2,65,2019-06-22
2765,The Git Up,Blanco Brown,66,0,1,66,2019-06-22
2766,24/7,Meek Mill Featuring Ella Mai,54,76,10,67,2019-06-22
2767,Rearview Town,Jason Aldean,68,88,3,68,2019-06-22
2768,Callaita,Bad Bunny & Tainy,69,0,1,69,2019-06-22
2769,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,51,4,70,2019-06-22
2770,All To Myself,Dan + Shay,71,75,6,71,2019-06-22
2771,Eyes On You,Chase Rice,38,65,17,72,2019-06-22
2772,Before I Let Go,Beyonce,65,72,8,73,2019-06-22
2773,Some Of It,Eric Church,74,80,3,74,2019-06-22
2774,Here With Me,Marshmello Featuring CHVRCHES,31,60,14,75,2019-06-22
2775,Sanguine Paradise,Lil Uzi Vert,28,71,9,76,2019-06-22
2776,Soltera,"Lunay, Daddy Yankee & Bad Bunny",73,74,5,77,2019-06-22
2777,Talk You Out Of It,Florida Georgia Line,77,81,17,78,2019-06-22
2778,Put A Date On It,Yo Gotti Featuring Lil Baby,46,73,20,79,2019-06-22
2779,Love Ain't,Eli Young Band,50,68,9,80,2019-06-22
2780,Shotta Flow,NLE Choppa,81,82,8,81,2019-06-22
2781,Calma,Pedro Capo X Farruko,71,83,13,82,2019-06-22
2782,Heaven,Avicii,83,0,1,83,2019-06-22
2783,Call You Mine,The Chainsmokers & Bebe Rexha,67,67,2,84,2019-06-22
2784,Ocean Eyes,Billie Eilish,84,86,16,85,2019-06-22
2785,Big Ole Freak,Megan Thee Stallion,65,77,10,86,2019-06-22
2786,Please Tell Me,Future,87,0,1,87,2019-06-22
2787,On My Way To You,Cody Johnson,78,78,16,88,2019-06-22
2788,Trampoline,SHAED,89,99,2,89,2019-06-22
2789,Raised On Country,Chris Young,90,97,2,90,2019-06-22
2790,Te Robare,Nicky Jam X Ozuna,91,96,5,91,2019-06-22
2791,Amor Genuino,Ozuna,92,0,1,92,2019-06-22
2792,Only Human,Jonas Brothers,93,0,1,93,2019-06-22
2793,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",94,98,3,94,2019-06-22
2794,La La Land,Bryce Vine Featuring YG,92,92,2,95,2019-06-22
2795,Robbery,Juice WRLD,27,87,17,96,2019-06-22
2796,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,89,7,97,2019-06-22
2797,XanaX Damage,Future,98,0,1,98,2019-06-22
2798,Government Official,Future,99,0,1,99,2019-06-22
2799,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",100,0,1,100,2019-06-22
2600,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,16,1,2019-06-29
2601,You Need To Calm Down,Taylor Swift,2,0,1,2,2019-06-29
2602,Bad Guy,Billie Eilish,2,2,12,3,2019-06-29
2603,Talk,Khalid,3,3,19,4,2019-06-29
2604,I Don't Care,Ed Sheeran & Justin Bieber,2,5,6,5,2019-06-29
2605,Sucker,Jonas Brothers,1,4,16,6,2019-06-29
2606,Money In The Grave,Drake Featuring Rick Ross,7,0,1,7,2019-06-29
2607,Wow.,Post Malone,2,6,26,8,2019-06-29
2608,Suge,DaBaby,8,8,12,9,2019-06-29
2609,No Guidance,Chris Brown Featuring Drake,9,9,2,10,2019-06-29
2610,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,7,35,11,2019-06-29
2611,Dancing With A Stranger,Sam Smith & Normani,7,10,23,12,2019-06-29
2612,If I Can't Have You,Shawn Mendes,2,12,7,13,2019-06-29
2613,Truth Hurts,Lizzo,14,17,7,14,2019-06-29
2614,ME!,Taylor Swift Featuring Brendon Urie,2,14,9,15,2019-06-29
2615,Without Me,Halsey,1,15,37,16,2019-06-29
2616,Sweet But Psycho,Ava Max,10,13,27,17,2019-06-29
2617,Pop Out,Polo G Featuring Lil Tjay,11,11,13,18,2019-06-29
2618,7 Rings,Ariana Grande,1,16,22,19,2019-06-29
2619,Happier,Marshmello & Bastille,2,18,44,20,2019-06-29
2620,God's Country,Blake Shelton,19,19,12,21,2019-06-29
2621,Whiskey Glasses,Morgan Wallen,17,20,16,22,2019-06-29
2622,High Hopes,Panic! At The Disco,4,21,46,23,2019-06-29
2623,"Hey Look Ma, I Made It",Panic! At The Disco,24,31,10,24,2019-06-29
2624,Rumor,Lee Brice,25,36,15,25,2019-06-29
2625,The London,"Young Thug, J. Cole & Travis Scott",12,24,4,26,2019-06-29
2626,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,23,20,27,2019-06-29
2627,Beer Never Broke My Heart,Luke Combs,22,22,7,28,2019-06-29
2628,Never Really Over,Katy Perry,15,28,3,29,2019-06-29
2629,Middle Child,J. Cole,4,25,22,30,2019-06-29
2630,Eastside,"benny blanco, Halsey & Khalid",9,27,49,31,2019-06-29
2631,Act Up,City Girls,26,26,16,32,2019-06-29
2632,Pure Water,Mustard & Migos,23,29,21,33,2019-06-29
2633,Going Bad,Meek Mill Featuring Drake,6,32,29,34,2019-06-29
2634,Omerta,Drake,35,0,1,35,2019-06-29
2635,EARFQUAKE,"Tyler, The Creator",13,30,5,36,2019-06-29
2636,Look What God Gave Her,Thomas Rhett,32,39,16,37,2019-06-29
2637,Better,Khalid,8,35,40,38,2019-06-29
2638,Shallow,Lady Gaga & Bradley Cooper,1,34,38,39,2019-06-29
2639,Look Back At It,A Boogie Wit da Hoodie,27,40,28,40,2019-06-29
2640,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,37,19,41,2019-06-29
2641,Sicko Mode,Travis Scott,1,38,46,42,2019-06-29
2642,Speechless,Dan + Shay,24,33,26,43,2019-06-29
2643,Nightmare,Halsey,15,43,5,44,2019-06-29
2644,When The Party's Over,Billie Eilish,29,42,32,45,2019-06-29
2645,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,34,49,4,46,2019-06-29
2646,Envy Me,Calboy,31,41,27,47,2019-06-29
2647,Good As You,Kane Brown,36,46,17,48,2019-06-29
2648,Go Loko,"YG, Tyga & Jon Z",49,50,7,49,2019-06-29
2649,Cool,Jonas Brothers,27,44,11,50,2019-06-29
2650,The Git Up,Blanco Brown,51,66,2,51,2019-06-29
2651,Ran$om,Lil Tecca,52,65,3,52,2019-06-29
2652,Just Us,DJ Khaled Featuring SZA,43,60,5,53,2019-06-29
2653,Someone You Loved,Lewis Capaldi,54,55,6,54,2019-06-29
2654,Walk Me Home,P!nk,49,57,16,55,2019-06-29
2655,Worth It,YK Osiris,52,54,18,56,2019-06-29
2656,Please Me,Cardi B & Bruno Mars,3,51,18,57,2019-06-29
2657,Clout,Offset Featuring Cardi B,39,53,11,58,2019-06-29
2658,Knockin' Boots,Luke Bryan,59,61,8,59,2019-06-29
2659,Press,Cardi B,16,47,3,60,2019-06-29
2660,GIRL,Maren Morris,59,59,16,61,2019-06-29
2661,Easier,5 Seconds Of Summer,48,63,4,62,2019-06-29
2662,24/7,Meek Mill Featuring Ella Mai,54,67,11,63,2019-06-29
2663,Girls Need Love,Summer Walker X Drake,37,64,17,64,2019-06-29
2664,Some Of It,Eric Church,65,74,4,65,2019-06-29
2665,All To Myself,Dan + Shay,66,71,7,66,2019-06-29
2666,Shotta Flow,NLE Choppa,67,81,9,67,2019-06-29
2667,Callaita,Bad Bunny & Tainy,68,69,2,68,2019-06-29
2668,Rearview Town,Jason Aldean,68,68,4,69,2019-06-29
2669,Miss Me More,Kelsea Ballerini,47,56,20,70,2019-06-29
2670,Love Someone,Brett Eldredge,52,52,9,71,2019-06-29
2671,Before I Let Go,Beyonce,65,73,9,72,2019-06-29
2672,Talk You Out Of It,Florida Georgia Line,73,78,18,73,2019-06-29
2673,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,70,5,74,2019-06-29
2674,Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",75,0,1,75,2019-06-29
2675,Eyes On You,Chase Rice,38,72,18,76,2019-06-29
2676,Soltera,"Lunay, Daddy Yankee & Bad Bunny",73,77,6,77,2019-06-29
2677,Sanguine Paradise,Lil Uzi Vert,28,76,10,78,2019-06-29
2678,Here With Me,Marshmello Featuring CHVRCHES,31,75,15,79,2019-06-29
2679,Sanctuary,Joji,80,0,1,80,2019-06-29
2680,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",81,100,2,81,2019-06-29
2681,Call You Mine,The Chainsmokers & Bebe Rexha,67,84,3,82,2019-06-29
2682,Raised On Country,Chris Young,83,90,3,83,2019-06-29
2683,Trampoline,SHAED,84,89,3,84,2019-06-29
2684,Love Ain't,Eli Young Band,50,80,10,85,2019-06-29
2685,Ocean Eyes,Billie Eilish,84,85,17,86,2019-06-29
2686,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",87,94,4,87,2019-06-29
2687,Calma,Pedro Capo X Farruko,71,82,14,88,2019-06-29
2688,Wake Up,Travis Scott,30,0,3,89,2019-06-29
2689,La La Land,Bryce Vine Featuring YG,90,95,3,90,2019-06-29
2690,Only Human,Jonas Brothers,91,93,2,91,2019-06-29
2691,Rescue Me,Marshmello Featuring A Day To Remember,92,0,1,92,2019-06-29
2692,Big Ole Freak,Megan Thee Stallion,65,86,11,93,2019-06-29
2693,Te Robare,Nicky Jam X Ozuna,91,91,6,94,2019-06-29
2694,Tap,NAV Featuring Meek Mill,89,0,2,95,2019-06-29
2695,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,97,8,96,2019-06-29
2696,It's You,Ali Gatie,97,0,1,97,2019-06-29
2697,Robbery,Juice WRLD,27,96,18,98,2019-06-29
2698,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,0,11,99,2019-06-29
2699,The Ones That Didn't Make It Back Home,Justin Moore,100,0,1,100,2019-06-29
2500,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,17,1,2019-07-06
2501,Senorita,Shawn Mendes & Camila Cabello,2,0,1,2,2019-07-06
2502,Bad Guy,Billie Eilish,2,3,13,3,2019-07-06
2503,Talk,Khalid,3,4,20,4,2019-07-06
2504,I Don't Care,Ed Sheeran & Justin Bieber,2,5,7,5,2019-07-06
2505,Sucker,Jonas Brothers,1,6,17,6,2019-07-06
2506,Suge,DaBaby,7,9,13,7,2019-07-06
2507,Money In The Grave,Drake Featuring Rick Ross,7,7,2,8,2019-07-06
2508,No Guidance,Chris Brown Featuring Drake,9,10,3,9,2019-07-06
2509,Wow.,Post Malone,2,8,27,10,2019-07-06
2510,Truth Hurts,Lizzo,11,14,8,11,2019-07-06
2511,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,11,36,12,2019-07-06
2512,You Need To Calm Down,Taylor Swift,2,2,2,13,2019-07-06
2513,If I Can't Have You,Shawn Mendes,2,13,8,14,2019-07-06
2514,Dancing With A Stranger,Sam Smith & Normani,7,12,24,15,2019-07-06
2515,Panini,Lil Nas X,16,0,1,16,2019-07-06
2516,Without Me,Halsey,1,16,38,17,2019-07-06
2517,God's Country,Blake Shelton,18,21,13,18,2019-07-06
2518,Pop Out,Polo G Featuring Lil Tjay,11,18,14,19,2019-07-06
2519,MEGATRON,Nicki Minaj,20,0,1,20,2019-07-06
2520,Sweet But Psycho,Ava Max,10,17,28,21,2019-07-06
2521,Rodeo,Lil Nas X & Cardi B Or Nas,22,0,1,22,2019-07-06
2522,7 Rings,Ariana Grande,1,19,23,23,2019-07-06
2523,"Hey Look Ma, I Made It",Panic! At The Disco,24,24,11,24,2019-07-06
2524,Happier,Marshmello & Bastille,2,20,45,25,2019-07-06
2525,Rumor,Lee Brice,25,25,16,26,2019-07-06
2526,Never Really Over,Katy Perry,15,29,4,27,2019-07-06
2527,Whiskey Glasses,Morgan Wallen,17,22,17,28,2019-07-06
2528,The Git Up,Blanco Brown,29,51,3,29,2019-07-06
2529,The London,"Young Thug, J. Cole & Travis Scott",12,26,5,30,2019-07-06
2530,ME!,Taylor Swift Featuring Brendon Urie,2,15,10,31,2019-07-06
2531,High Hopes,Panic! At The Disco,4,23,47,32,2019-07-06
2532,Beer Never Broke My Heart,Luke Combs,22,28,8,33,2019-07-06
2533,Act Up,City Girls,26,32,17,34,2019-07-06
2534,Eastside,"benny blanco, Halsey & Khalid",9,31,50,35,2019-07-06
2535,Middle Child,J. Cole,4,30,23,36,2019-07-06
2536,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,27,21,37,2019-07-06
2537,Pure Water,Mustard & Migos,23,33,22,38,2019-07-06
2538,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,34,46,5,39,2019-07-06
2539,Going Bad,Meek Mill Featuring Drake,6,34,30,40,2019-07-06
2540,Better,Khalid,8,38,41,41,2019-07-06
2541,Shallow,Lady Gaga & Bradley Cooper,1,39,39,42,2019-07-06
2542,Press,Cardi B,16,60,4,43,2019-07-06
2543,Speechless,Dan + Shay,24,43,27,44,2019-07-06
