,artist,song,weeks_on_chart,peak_rank
360,Dustin Lynch,Ridin' Roads,20,47
361,Ed Sheeran & Justin Bieber,I Don't Care,39,2
362,Ed Sheeran & Travis Scott,Antisocial,4,37
363,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,12,49
364,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,10,25
365,Ed Sheeran Featuring Eminem & 50 Cent,Remember The Name,1,57
366,Ed Sheeran Featuring Khalid,Beautiful People,26,13
367,Ed Sheeran Featuring YEBBA,Best Part Of Me,1,99
368,Ed Sheeran With Chris Stapleton & Bruno Mars,BLOW,2,60
369,Eli Young Band,Love Ain't,18,50
370,Ella Mai,Shot Clock,16,62
371,Ella Mai,Trip,27,11
372,Ellie Goulding & Juice WRLD,Hate Me,20,56
373,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,25,24
374,Elvis Presley,Blue Christmas,2,40
375,Eminem,Darkness,2,28
376,Eminem,In Too Deep,1,71
377,Eminem,Marsh,1,83
378,Eminem,Premonition (Intro),1,67
379,Eminem,Stepdad,1,93
380,Eminem Featuring Anderson .Paak,Lock It Up,1,89
381,Eminem Featuring Don Toliver,No Regrets,1,84
382,Eminem Featuring Ed Sheeran,Those Kinda Nights,2,31
383,Eminem Featuring Joyner Lucas,Lucky You,14,6
384,Eminem Featuring Juice WRLD,Godzilla,20,3
385,"Eminem Featuring Royce da 5'9"" & White Gold",You Gon' Learn,2,52
386,Eminem Featuring Skylar Grey,Leaving Heaven,1,61
387,Eminem Featuring Young M.A,Unaccommodating,2,36
388,Eric Church,Some Of It,13,43
389,Eric Church,Stick That In Your Country Song,1,92
390,FLETCHER,Undrunk,6,61
391,Farruko,La Toxica,4,95
392,Fat Joe & Dre Featuring Eminem & Mary J. Blige,Lord Above,1,97
393,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",Blue On Black,1,66
394,Fleetwood Mac,Dreams,23,1
395,Flipp Dinero,Leave Me Alone,25,20
396,Florida Georgia Line,I Love My Country,20,40
397,Florida Georgia Line,Talk You Out Of It,26,57
398,Frank Ocean,DHL,1,98
399,Frank Ocean,In My Room,1,85
400,Frank Sinatra,Jingle Bells,2,43
401,French Montana Featuring Blueface & Lil Tjay,Slide,1,90
402,French Montana Featuring Drake,No Stylist,20,47
403,"French Montana Featuring Post Malone, Cardi B & Rvssian",Writing On The Wall,3,56
404,Future,Call The Coroner,1,100
405,Future,Crushed Up,5,43
406,Future,F&N,1,83
407,Future,Government Official,1,99
408,Future,Hard To Choose One,1,68
409,Future,Hitek Tek,1,71
410,Future,Jumpin On A Jet,2,57
411,Future,Never Stop,1,65
412,Future,One Of My,1,82
413,Future,Please Tell Me,1,87
414,Future,Posted With Demons,1,79
415,Future,Ridin Strikers,1,69
416,Future,Rocket Ship,1,79
417,Future,Rockstar Chainz,1,97
418,Future,Temptation,1,76
419,Future,Too Comfortable,1,75
420,Future,Touch The Sky,1,81
421,Future,Trapped In The Sun,1,53
422,Future,Tycoon,1,76
423,Future,XanaX Damage,1,98
