,sentiment_polarity
422,-0.032840909090909
423,0.0347926267281106
424,0.1763888888888888
425,-0.1391975308641975
426,0.5432471264367814
427,-0.1837784900284901
428,-0.0128292181069958
429,0.3085714285714286
430,0.1811766375700801
431,-0.3468486557302344
432,0.1673076923076923
433,0.0530753968253968
434,-0.0188591269841269
435,0.0967532467532467
436,0.0057495955223227
437,-0.0912990368804322
438,-0.0616910866910866
439,0.0160243055555555
440,0.2031926406926407
441,0.015340909090909
442,-0.0085906232132647
443,0.0344771241830065
444,0.0692964756524078
445,-0.0873015873015873
446,-0.1486772486772486
447,0.0711681547619047
448,-0.1049931369443564
449,-0.0891666666666666
450,0.0116393442622951
451,-0.1053104575163398
452,0.3808664374840844
453,-0.0889020070838252
454,0.3544444444444444
455,0.275
456,0.1134615384615384
457,0.0545454545454545
458,-0.0313692480359147
459,0.1235294117647058
460,0.0301852342668669
461,0.1109861111111111
462,0.2962962962962963
463,0.0275946275946276
464,-0.1072463768115941
465,0.0536169144864797
466,0.0182968682968682
467,-0.0973577235772357
468,0.2937908496732027
469,-0.0116919702414985
470,0.3673202614379084
471,0.2465201465201465
472,0.3128968253968254
473,0.202766106442577
475,-0.0252305665349143
476,0.1939560439560439
477,-0.1601572039072039
478,-0.0392057833234303
479,-0.0609008632692843
480,0.0247689662583279
481,-0.1213333333333333
482,-0.1528787878787878
483,-0.0586111111111111
484,-0.1875448028673835
485,-0.0990014430014429
486,0.0212632275132275
487,0.2357142857142857
488,-0.2407196969696969
489,0.2635714285714285
490,-0.0145408163265306
491,0.1354938271604938
492,-0.0326388888888888
493,0.292402447089947
494,-0.0575
495,-0.0278155706727135
496,0.1250868055555555
497,-0.0639172335600906
498,-0.3796296296296297
499,0.0242025335775335
500,0.1140325670498084
501,-0.0056547619047618
502,0.0065217391304347
504,0.1825152788388081
506,0.0886136712749615
507,0.0272659022659022
508,0.0342527842527842
509,-0.0647893772893772
510,0.0432393432393432
511,0.0178128006253006
512,-0.1464913493215381
513,-0.0207893957893958
514,0.0501339149066421
